time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1723429638.03500462,0.00841408,19535,0.00108529,0.00000000,0,0.00000000,1179,1501,599,0.00000000
1723429638.13517952,0.00989356,19367,0.00094600,0.00000000,0,0.00000000,1501,1527,376,0.00078239
1723429638.23484182,0.00818359,19511,0.00079645,0.00000000,0,0.00000000,1527,1587,340,0.00058614
1723429638.33485532,0.01062140,19484,0.00099246,0.00000000,0,0.00000000,1587,1681,285,0.00112609
1723429638.43485546,0.01003269,19520,0.00075648,0.00000000,0,0.00000000,1681,1622,248,0.00045841
1723429638.53502584,0.00764740,19591,0.00050122,0.00000000,0,0.00000000,1622,1720,233,0.00049971
1723429638.63497162,0.00901274,19516,0.00059180,0.00000000,0,0.00000000,1720,1679,184,0.00028924
1723429638.73496342,0.00733609,19465,0.00045514,0.00000000,0,0.00000000,1679,1688,190,0.00066423
1723429638.83491993,0.00751469,19512,0.00051571,0.00000000,0,0.00000000,1688,1746,161,0.00048720
1723429638.93494678,0.00706562,19486,0.00046264,0.00000000,0,0.00000000,1746,1766,190,0.00044864
1723429639.03485394,0.00723673,19476,0.00040813,0.00000000,0,0.00000000,1766,1857,147,0.00029574
1723429639.13483906,0.00709741,19616,0.00041426,0.00000000,0,0.00000000,1857,1732,127,0.00036796
1723429639.23498154,0.00730278,19491,0.00033694,0.00000000,0,0.00000000,1732,1760,126,0.00048585
1723429639.33499360,0.00793130,19536,0.00028345,0.00000000,0,0.00000000,1760,1799,103,0.00028863
1723429639.43496323,0.00702141,19379,0.00028062,0.00000000,0,0.00000000,1799,1785,96,0.00044462
1723429639.53486538,0.00766671,19636,0.00022277,0.00000000,0,0.00000000,1785,1774,86,0.00031934
1723429639.63485789,0.00736008,19434,0.00024901,0.00000000,0,0.00000000,1774,1817,107,0.00038359
1723429639.73488998,0.00766677,19537,0.00023570,0.00000000,0,0.00000000,1817,1811,89,0.00032430
1723429639.83484268,0.00892334,19439,0.00021317,0.00000000,0,0.00000000,1811,1822,76,0.00037073
1723429639.93482542,0.00714682,19596,0.00020300,0.00000000,0,0.00000000,1822,1847,88,0.00046823
1723429640.03509641,0.00934228,19473,0.00037695,0.00000000,0,0.00000000,1847,1765,73,0.00029026
1723429640.13503027,0.00689261,19529,0.00022155,0.00000000,0,0.00000000,1765,1725,73,0.00030324
1723429640.23498392,0.00758690,19469,0.00019891,0.00000000,0,0.00000000,1725,1786,72,0.00034295
1723429640.33498263,0.00832764,19508,0.00021192,0.00000000,0,0.00000000,1786,1826,86,0.00028614
1723429640.43492174,0.00717711,19376,0.00017539,0.00000000,0,0.00000000,1826,1864,74,0.00030154
1723429640.53484750,0.00899622,19682,0.00024073,0.00000000,0,0.00000000,1864,1863,79,0.00029111
1723429640.63511300,0.00834360,19488,0.00023929,0.00000000,0,0.00000000,1863,1844,73,0.00039502
1723429640.73497367,0.00699195,19474,0.00015845,0.00000000,0,0.00000000,1844,1872,63,0.00030440
1723429640.83486629,0.01056722,19626,0.00018579,0.00000000,0,0.00000000,1872,1830,50,0.00028937
1723429640.93514895,0.00831743,19484,0.00012507,0.00000000,0,0.00000000,1830,1854,58,0.00089284
1723429641.03497815,0.00801848,19539,0.00018975,0.00000000,0,0.00000000,1854,1854,67,0.00028839
1723429641.13520670,0.00813606,19478,0.00013610,0.00000000,0,0.00000000,1854,1872,52,0.00031204
1723429641.23483753,0.00694870,19534,0.00015279,0.00000000,0,0.00000000,1872,1859,55,0.00036068
1723429641.33495474,0.00756551,19559,0.00013951,0.00000000,0,0.00000000,1859,1871,55,0.00044659
1723429641.43495059,0.00689065,19417,0.00017748,0.00000000,0,0.00000000,1871,1901,55,0.00035159
1723429641.53496170,0.00715388,19647,0.00013529,0.00000000,0,0.00000000,1901,1936,62,0.00047433
1723429641.63512897,0.00834438,19520,0.00015214,0.00000000,0,0.00000000,1936,1920,41,0.00028616
1723429641.73510861,0.00745784,19466,0.00011031,0.00000000,0,0.00000000,1920,1892,28,0.00047444
1723429641.83492708,0.00879589,19532,0.00011212,0.00000000,0,0.00000000,1892,1912,39,0.00028644
1723429641.93498135,0.00670267,19484,0.00017074,0.00000000,0,0.00000000,1912,1889,63,0.00048228
1723429642.03486514,0.00720320,19601,0.00014689,0.00000000,0,0.00000000,1889,1883,45,0.00029063
1723429642.13522959,0.00689766,19477,0.00011316,0.00000000,0,0.00000000,1883,1919,51,0.00046701
1723429642.23503256,0.00810500,19487,0.00013238,0.00000000,0,0.00000000,1919,1920,41,0.00034879
1723429642.33489799,0.00766684,19463,0.00012266,0.00000000,0,0.00000000,1920,1940,53,0.00044910
1723429642.43487644,0.00802956,19506,0.00011671,0.00000000,0,0.00000000,1940,1969,45,0.00028898
1723429642.53498983,0.00764644,19582,0.00014859,0.00000000,0,0.00000000,1969,1955,56,0.00028831
1723429642.63489223,0.00944775,19610,0.00010313,0.00000000,0,0.00000000,1955,1955,34,0.00028779
1723429642.73489261,0.00702876,19497,0.00015959,0.00000000,0,0.00000000,1955,1893,45,0.00045505
1723429642.83490467,0.00900117,19578,0.00012313,0.00000000,0,0.00000000,1893,1919,39,0.00047186
1723429642.93492246,0.00886883,19476,0.00010655,0.00000000,0,0.00000000,1919,1921,34,0.00028859
1723429643.03485942,0.00770103,19555,0.00014474,0.00000000,0,0.00000000,1921,1964,66,0.00045248
1723429643.13483357,0.00767483,19453,0.00013640,0.00000000,0,0.00000000,1964,1906,34,0.00028397
1723429643.23484135,0.00750987,19498,0.00009980,0.00000000,0,0.00000000,1906,1920,33,0.00059507
1723429643.33484030,0.00685447,19589,0.00012409,0.00000000,0,0.00000000,1920,1921,45,0.00029370
1723429643.43500376,0.00741369,19419,0.00014042,0.00000000,0,0.00000000,1921,1888,30,0.00044709
1723429643.53495216,0.00822711,19575,0.00009416,0.00000000,0,0.00000000,1888,1923,39,0.00030730
1723429643.63490033,0.00686130,19516,0.00010276,0.00000000,0,0.00000000,1923,1941,38,0.00045328
1723429643.73492002,0.00763543,19476,0.00011425,0.00000000,0,0.00000000,1941,1940,36,0.00030753
1723429643.83485508,0.00733765,19497,0.00011731,0.00000000,0,0.00000000,1940,1942,36,0.00028762
1723429643.93488622,0.00804534,19473,0.00008263,0.00000000,0,0.00000000,1942,1961,29,0.00029237
1723429644.03485370,0.00730555,19501,0.00014370,0.00000000,0,0.00000000,1961,1920,29,0.00028642
1723429644.13482809,0.00914097,19650,0.00009614,0.00000000,0,0.00000000,1920,1907,34,0.00049665
1723429644.23501945,0.00883792,19514,0.00007245,0.00000000,0,0.00000000,1907,1914,26,0.00039498
1723429644.33506775,0.00830323,19551,0.00011536,0.00000000,0,0.00000000,1914,1877,26,0.00044975
1723429644.43495798,0.00661988,19392,0.00009104,0.00000000,0,0.00000000,1877,1904,33,0.00031562
1723429644.53488970,0.00769731,19624,0.00007842,0.00000000,0,0.00000000,1904,1906,26,0.00044928
1723429644.63488317,0.00786188,19471,0.00010106,0.00000000,0,0.00000000,1906,1923,37,0.00040922
1723429644.73488569,0.00713151,19525,0.00008934,0.00000000,0,0.00000000,1923,1942,36,0.00050686
1723429644.83485746,0.00705617,19467,0.00006662,0.00000000,0,0.00000000,1942,1931,19,0.00028400
1723429644.93483233,0.00851663,19617,0.00010449,0.00000000,0,0.00000000,1931,1932,34,0.00049428
1723429645.03495216,0.00725410,19477,0.00005668,0.00000000,0,0.00000000,1932,1951,21,0.00028358
1723429645.13495350,0.00815251,19527,0.00008212,0.00000000,0,0.00000000,1951,1972,31,0.00045983
1723429645.23489356,0.00702869,19471,0.00004595,0.00000000,0,0.00000000,1972,1987,18,0.00037895
1723429645.33484793,0.00708571,19604,0.00011923,0.00000000,0,0.00000000,1987,1964,31,0.00050796
1723429645.43513107,0.00815844,19370,0.00006957,0.00000000,0,0.00000000,1964,1967,21,0.00031639
1723429645.53498793,0.00753731,19563,0.00007734,0.00000000,0,0.00000000,1967,1969,28,0.00055419
1723429645.63497734,0.00670865,19483,0.00005973,0.00000000,0,0.00000000,1969,1959,14,0.00030896
1723429645.73492026,0.00795640,19571,0.00016957,0.00000000,0,0.00000000,1959,1911,36,0.00055508
1723429645.83499122,0.00760296,19445,0.00007152,0.00000000,0,0.00000000,1911,1910,19,0.00030158
1723429645.93486547,0.00747010,19570,0.00007650,0.00000000,0,0.00000000,1910,1905,23,0.00045339
1723429646.03486037,0.00673009,19548,0.00005057,0.00000000,0,0.00000000,1905,1906,18,0.00029562
1723429646.13492632,0.00676933,19561,0.00005421,0.00000000,0,0.00000000,1906,1929,25,0.00045129
1723429646.23499370,0.00706120,19515,0.00010267,0.00000000,0,0.00000000,1929,1936,29,0.00034269
1723429646.33493733,0.00666989,19550,0.00005309,0.00000000,0,0.00000000,1936,1910,16,0.00049306
1723429646.43503404,0.00768466,19419,0.00005094,0.00000000,0,0.00000000,1910,1895,11,0.00032354
1723429646.53501415,0.00796939,19564,0.00005479,0.00000000,0,0.00000000,1895,1915,21,0.00048220
1723429646.63498235,0.00659002,19531,0.00005886,0.00000000,0,0.00000000,1915,1919,24,0.00029172
1723429646.73495698,0.00712182,19493,0.00005418,0.00000000,0,0.00000000,1919,1926,22,0.00052372
1723429646.83484006,0.00737591,19489,0.00010730,0.00000000,0,0.00000000,1926,1942,33,0.00028450
1723429646.93485832,0.00779885,19585,0.00004683,0.00000000,0,0.00000000,1942,1944,17,0.00045986
1723429647.03493571,0.00702690,19507,0.00007805,0.00000000,0,0.00000000,1944,1954,26,0.00028725
1723429647.13484144,0.00741725,19570,0.00008187,0.00000000,0,0.00000000,1954,1978,29,0.00049093
1723429647.23501015,0.00649812,19490,0.00006444,0.00000000,0,0.00000000,1978,1999,27,0.00029325
1723429647.33487701,0.00767461,19549,0.00007235,0.00000000,0,0.00000000,1999,1997,26,0.00031476
1723429647.43491626,0.00670952,19519,0.00004443,0.00000000,0,0.00000000,1997,2011,14,0.00031883
1723429647.53492093,0.00654498,19571,0.00004693,0.00000000,0,0.00000000,2011,2013,17,0.00034056
1723429647.63499475,0.00658034,19591,0.00004613,0.00000000,0,0.00000000,2013,2022,18,0.00033021
1723429647.73491716,0.00653241,19507,0.00004070,0.00000000,0,0.00000000,2022,2020,13,0.00054947
1723429647.83491302,0.00656381,19577,0.00003843,0.00000000,0,0.00000000,2020,2022,11,0.00028588
1723429647.93496680,0.00789552,19487,0.00006821,0.00000000,0,0.00000000,2022,2028,20,0.00045419
1723429648.03492403,0.00648027,19537,0.00007529,0.00000000,0,0.00000000,2028,2004,19,0.00029411
1723429648.13489103,0.00713897,19487,0.00005262,0.00000000,0,0.00000000,2004,2009,18,0.00047511
1723429648.23485661,0.00808860,19521,0.00007753,0.00000000,0,0.00000000,2009,2019,23,0.00030461
1723429648.33490705,0.00726867,19471,0.00006759,0.00000000,0,0.00000000,2019,2024,20,0.00030855
1723429648.43486023,0.00714465,19523,0.00009897,0.00000000,0,0.00000000,2024,2029,24,0.00028818
1723429648.53503942,0.00695443,19569,0.00013549,0.00000000,0,0.00000000,2029,1937,22,0.00028726
1723429648.63505745,0.00774818,19406,0.00004369,0.00000000,0,0.00000000,1937,1947,14,0.00045062
1723429648.73483229,0.00825124,19557,0.00006903,0.00000000,0,0.00000000,1947,1965,26,0.00052060
1723429648.83500910,0.00810546,19504,0.00006541,0.00000000,0,0.00000000,1965,1955,17,0.00045052
1723429648.93495798,0.00771824,19548,0.00005481,0.00000000,0,0.00000000,1955,1959,13,0.00028465
1723429649.03492332,0.00737869,19501,0.00006351,0.00000000,0,0.00000000,1959,1961,16,0.00030536
1723429649.13493609,0.00852681,19540,0.00004064,0.00000000,0,0.00000000,1961,1965,11,0.00028958
1723429649.23484278,0.00733475,19472,0.00008520,0.00000000,0,0.00000000,1965,1949,19,0.00036823
1723429649.33490586,0.00770202,19553,0.00006750,0.00000000,0,0.00000000,1949,1950,24,0.00048480
1723429649.43488765,0.00800904,19365,0.00006402,0.00000000,0,0.00000000,1950,1960,20,0.00030255
1723429649.53484845,0.00756139,19714,0.00004089,0.00000000,0,0.00000000,1960,1959,12,0.00052732
1723429649.63503504,0.00672336,19454,0.00004665,0.00000000,0,0.00000000,1959,1969,18,0.00028818
1723429649.73503876,0.00675348,19511,0.00003610,0.00000000,0,0.00000000,1969,1985,16,0.00052522
1723429649.83502293,0.00728539,19478,0.00004238,0.00000000,0,0.00000000,1985,1974,12,0.00029353
1723429649.93495655,0.00812177,19527,0.00007586,0.00000000,0,0.00000000,1974,1978,24,0.00050051
1723429650.03496599,0.00686730,19476,0.00003641,0.00000000,0,0.00000000,1978,1988,13,0.00030557
1723429650.13494277,0.00678347,19520,0.00006952,0.00000000,0,0.00000000,1988,1973,19,0.00046872
1723429650.23493910,0.00798060,19490,0.00003501,0.00000000,0,0.00000000,1973,1977,9,0.00034168
1723429650.33494782,0.00780102,19519,0.00004132,0.00000000,0,0.00000000,1977,1996,20,0.00048612
1723429650.43488288,0.00801610,19498,0.00004130,0.00000000,0,0.00000000,1996,2008,14,0.00029354
1723429650.53504443,0.00781184,19580,0.00008314,0.00000000,0,0.00000000,2008,1998,22,0.00050779
1723429650.63501835,0.00816428,19456,0.00006580,0.00000000,0,0.00000000,1998,1974,13,0.00033880
1723429650.73488688,0.00808226,19584,0.00006628,0.00000000,0,0.00000000,1974,1964,20,0.00045674
1723429650.83492231,0.00799750,19518,0.00005803,0.00000000,0,0.00000000,1964,1975,19,0.00045643
1723429650.93498564,0.00803822,19559,0.00003697,0.00000000,0,0.00000000,1975,1982,13,0.00046829
1723429651.03502560,0.00767256,19456,0.00003908,0.00000000,0,0.00000000,1982,1979,11,0.00028816
1723429651.13487697,0.00767126,19553,0.00005365,0.00000000,0,0.00000000,1979,1978,16,0.00049103
1723429651.23490620,0.00674133,19507,0.00003440,0.00000000,0,0.00000000,1978,1984,9,0.00062659
1723429651.33491230,0.00662317,19548,0.00001624,0.00000000,0,0.00000000,1984,1991,7,0.00029882
1723429651.43501687,0.00802829,19418,0.00004779,0.00000000,0,0.00000000,1991,1999,17,0.00028986
1723429651.53500700,0.00777234,19571,0.00004988,0.00000000,0,0.00000000,1999,2000,15,0.00029859
1723429651.63495731,0.00671954,19538,0.00004952,0.00000000,0,0.00000000,2000,2009,16,0.00045606
1723429651.73496199,0.00807148,19579,0.00007219,0.00000000,0,0.00000000,2009,2024,28,0.00041305
1723429651.83517241,0.00824121,19419,0.00006303,0.00000000,0,0.00000000,2024,2028,18,0.00030524
1723429651.93484497,0.00772364,19581,0.00007662,0.00000000,0,0.00000000,2028,2022,24,0.00034864
1723429652.03497124,0.00817250,19506,0.00004851,0.00000000,0,0.00000000,2022,2032,17,0.00028864
1723429652.13490367,0.00761344,19635,0.00004038,0.00000000,0,0.00000000,2032,2043,16,0.00048697
1723429652.23520923,0.00800997,19422,0.00006070,0.00000000,0,0.00000000,2043,2051,19,0.00045625
1723429652.33485055,0.00768596,19525,0.00009387,0.00000000,0,0.00000000,2051,2002,21,0.00046164
1723429652.43495274,0.00749166,19515,0.00004383,0.00000000,0,0.00000000,2002,2003,12,0.00043842
1723429652.53495836,0.00705372,19598,0.00002868,0.00000000,0,0.00000000,2003,2012,12,0.00050422
1723429652.63492298,0.00683382,19569,0.00003273,0.00000000,0,0.00000000,2012,2011,8,0.00029071
1723429652.73489785,0.00659673,19506,0.00001896,0.00000000,0,0.00000000,2011,2019,8,0.00047789
1723429652.83491778,0.00763690,19569,0.00006102,0.00000000,0,0.00000000,2019,2018,19,0.00029891
1723429652.93494821,0.00773641,19531,0.00001981,0.00000000,0,0.00000000,2018,2026,10,0.00059427
1723429653.03494096,0.01036796,19548,0.00005632,0.00000000,0,0.00000000,2026,2021,12,0.00029802
1723429653.13488102,0.00854773,19518,0.00007791,0.00000000,0,0.00000000,2021,2001,17,0.00048610
1723429653.23490143,0.00841200,19532,0.00009370,0.00000000,0,0.00000000,2001,1968,21,0.00037971
1723429653.33489251,0.00681257,19478,0.00003666,0.00000000,0,0.00000000,1968,1960,8,0.00033136
1723429653.43485856,0.00655583,19493,0.00008343,0.00000000,0,0.00000000,1960,1925,9,0.00029534
1723429653.53505588,0.00703590,19590,0.00004495,0.00000000,0,0.00000000,1925,1935,18,0.00030592
1723429653.63501406,0.00819728,19489,0.00005191,0.00000000,0,0.00000000,1935,1941,16,0.00044804
1723429653.73504138,0.00766119,19548,0.00004795,0.00000000,0,0.00000000,1941,1941,10,0.00037091
1723429653.83496952,0.00799419,19500,0.00005342,0.00000000,0,0.00000000,1941,1937,12,0.00044610
1723429653.93495750,0.00913699,19552,0.00004890,0.00000000,0,0.00000000,1937,1944,16,0.00028730
1723429654.03493333,0.00730098,19473,0.00004147,0.00000000,0,0.00000000,1944,1938,7,0.00035772
1723429654.13493061,0.00818936,19570,0.00002278,0.00000000,0,0.00000000,1938,1947,9,0.00046477
1723429654.23485494,0.00825339,19475,0.00004393,0.00000000,0,0.00000000,1947,1951,11,0.00050644
1723429654.33488274,0.00856087,19513,0.00002617,0.00000000,0,0.00000000,1951,1958,9,0.00047577
1723429654.43485785,0.00826032,19380,0.00003774,0.00000000,0,0.00000000,1958,1961,11,0.00038967
1723429654.53485179,0.00721463,19637,0.00002720,0.00000000,0,0.00000000,1961,1970,9,0.00048625
1723429654.63484406,0.00833497,19593,0.00003485,0.00000000,0,0.00000000,1970,1964,10,0.00028861
1723429654.73503876,0.00827408,19537,0.00002745,0.00000000,0,0.00000000,1964,1976,13,0.00053492
1723429654.83501363,0.00804375,19506,0.00002812,0.00000000,0,0.00000000,1976,1984,8,0.00028739
1723429654.93497539,0.00763897,19504,0.00002811,0.00000000,0,0.00000000,1984,1991,9,0.00048111
1723429655.03491044,0.00780834,19498,0.00003541,0.00000000,0,0.00000000,1991,2003,13,0.00031050
1723429655.13491988,0.00680193,19502,0.00005402,0.00000000,0,0.00000000,2003,2002,17,0.00046333
1723429655.23486376,0.00678676,19506,0.00003280,0.00000000,0,0.00000000,2002,2012,11,0.00043196
1723429655.33487797,0.00766801,19581,0.00003612,0.00000000,0,0.00000000,2012,2022,13,0.00045282
1723429655.43502879,0.00805817,19462,0.00003681,0.00000000,0,0.00000000,2022,2024,10,0.00035191
1723429655.53495669,0.00713633,19586,0.00003017,0.00000000,0,0.00000000,2024,2026,11,0.00045149
1723429655.63497066,0.00766022,19565,0.00004430,0.00000000,0,0.00000000,2026,2024,13,0.00031370
1723429655.73496294,0.00767361,19574,0.00003131,0.00000000,0,0.00000000,2024,2036,13,0.00054202
1723429655.83493137,0.00636342,19553,0.00001844,0.00000000,0,0.00000000,2036,2044,8,0.00031122
1723429655.93498039,0.00706399,19455,0.00004581,0.00000000,0,0.00000000,2044,2046,14,0.00052383
1723429656.03483677,0.00655628,19527,0.00000794,0.00000000,0,0.00000000,2046,2048,2,0.00029728
1723429656.13488126,0.00763784,19563,0.00003047,0.00000000,0,0.00000000,2048,2053,8,0.00047596
1723429656.23497272,0.00667291,19532,0.00003149,0.00000000,0,0.00000000,2053,2062,10,0.00040980
1723429656.33495927,0.00676756,19505,0.00002311,0.00000000,0,0.00000000,2062,2057,4,0.00045120
1723429656.43483043,0.00647216,19531,0.00002285,0.00000000,0,0.00000000,2057,2067,10,0.00028884
1723429656.53504562,0.00670751,19584,0.00004303,0.00000000,0,0.00000000,2067,2070,13,0.00031102
1723429656.63495183,0.00814188,19514,0.00003309,0.00000000,0,0.00000000,2070,2078,9,0.00029946
1723429656.73492408,0.00682583,19511,0.00004686,0.00000000,0,0.00000000,2078,2081,13,0.00050675
